Country name,LL_2010,LL_2011,LL_2012,LL_2013,LL_2014,LL_2015,LL_2016,LL_2017,LL_2018,LL_2019,LL_2021,Initial Temperature,2010_TEMP,2011_TEMP,2012_TEMP,2013_TEMP,2014_TEMP,2015_TEMP,2016_TEMP,2017_TEMP,2018_TEMP,2019_TEMP
Afghanistan,4.758,3.832,3.783,3.572,3.131,3.983,4.22,2.662,2.694,2.375,2.523,14.02,14.629,16.487,14.373,16.156,15.647,15.427,15.79,16.166,15.942,13.956
Albania,5.269,5.867,5.51,4.551,4.814,4.607,4.511,4.64,5.004,4.995,5.117,12.93,13.779,14.201,15.986,13.827,13.731,13.802,14.754,15.55,14.259,15.781
Argentina,6.441,6.776,6.468,6.582,6.671,6.697,6.427,6.039,5.793,6.086,5.929,14.75,15.394,14.905,15.211,16.265,15.631,16.866,14.273,15.934,14.258,16.619
Armenia,4.368,4.26,4.32,4.277,4.453,4.348,4.325,4.288,5.062,5.488,5.283,7.78,11.088,9.183,10.238,9.049,9.722,11.219,9.15,9.795,9.855,11.905
Australia,7.45,7.406,7.196,7.364,7.289,7.309,7.25,7.257,7.177,7.234,7.183,21.72,22.088,21.167,21.212,22.482,22.13,23.099,22.988,22.175,22.015,21.936
Austria,7.303,7.471,7.401,7.499,6.95,7.076,7.048,7.294,7.396,7.195,7.268,6.15,7.454,7.58,8.461,6.843,7.501,8.004,7.858,9.69,8.416,11.264
Azerbaijan,4.219,4.68,4.911,5.481,5.252,5.147,5.304,5.152,5.168,5.173,5.171,11.34,15.05,12.79,13.895,12.628,13.51,15.089,12.876,12.63,13.109,15.55
Bangladesh,4.858,4.986,4.724,4.66,4.636,4.633,4.556,4.31,4.499,5.114,5.025,25.04,25.767,25.272,25.82,26.239,25.848,25.653,26.201,25.843,25.939,26.52
Belarus,5.526,5.225,5.749,5.876,5.812,5.719,5.178,5.553,5.234,5.821,5.534,5.96,7.959,8.024,5.504,8.502,4.985,6.228,7.601,5.729,6.897,10.154
Belgium,6.854,7.111,6.935,7.104,6.855,6.904,6.949,6.928,6.892,6.772,6.834,9.4,10.812,10.496,9.346,9.483,10.227,10.151,10.541,12.725,11.622,12.478
Bolivia,5.781,5.779,6.019,5.767,5.865,5.834,5.77,5.651,5.916,5.674,5.716,20.82,22.318,22.853,21.587,22.001,22.222,22.5,20.386,21.792,20.106,22.586
Bosnia and Herzegovina,4.669,4.995,4.773,5.124,5.249,5.117,5.181,5.09,5.887,6.016,5.813,10.1,11.12,11.897,13.516,10.848,10.992,11.413,11.958,13.292,11.827,13.849
Botswana,3.553,3.52,4.836,4.128,4.031,3.762,3.499,3.505,3.461,3.471,3.467,21.63,21.976,22.021,22.243,23.374,22.623,22.575,23.601,23.652,23.466,23.107
Brazil,6.837,7.038,6.66,7.14,6.981,6.547,6.375,6.333,6.191,6.451,6.33,24.98,26.205,25.842,26.18,26.372,26.257,26.345,25.845,26.4,25.731,26.83
Bulgaria,3.912,3.875,4.222,3.993,4.438,4.865,4.838,5.097,5.099,5.108,5.266,10.76,11.845,11.689,13.752,12.071,11.041,11.27,13.218,13.058,12.498,13.65
Burkina Faso,4.036,4.785,3.955,3.326,3.481,4.419,4.206,4.647,4.927,4.741,4.834,28.2,29.134,29.317,28.796,29.435,29.61,30.09,29.101,28.763,29.343,29.742
Cambodia,4.141,4.161,3.899,3.674,3.883,4.162,4.461,4.586,5.122,4.998,4.83,26.91,28.288,27.238,27.51,27.429,27.604,28.092,27.81,27.8,27.311,28.369
Cameroon,4.554,4.434,4.245,4.271,4.24,5.038,4.816,5.074,5.251,4.937,5.142,24.5,25.202,25.394,24.795,25.476,25.689,25.702,25.439,25.536,25.369,25.543
Canada,7.65,7.426,7.415,7.594,7.304,7.413,7.245,7.415,7.175,7.109,7.103,-4.89,-4.101,-4.215,-2.879,-3.345,-3.605,-3.51,-3.404,-3.941,-4.377,-4.182
Chad,3.743,4.393,4.033,3.508,3.46,4.323,4.029,4.559,4.486,4.251,4.355,26.38,27.751,27.4,27.313,27.033,27.672,27.872,27.299,27.042,26.966,27.162
Chile,6.636,6.526,6.599,6.74,6.844,6.533,6.579,6.32,6.436,5.942,6.172,9.38,9.885,10.248,10.216,10.771,10.258,11.114,10.316,10.129,9.272,10.552
China,4.653,5.037,5.095,5.241,5.196,5.304,5.325,5.099,5.131,5.144,5.339,6.79,7.862,7.944,7.79,7.973,7.581,7.392,7.957,7.552,8.131,7.742
Colombia,6.408,6.464,6.375,6.607,6.449,6.388,6.234,6.157,5.984,6.35,6.012,24.84,25.887,25.584,25.786,25.788,25.702,25.799,25.162,25.506,25.53,26.068
Costa Rica,7.271,7.229,7.272,7.158,7.247,6.854,7.136,7.225,7.141,6.998,7.069,25.87,26.431,26.498,26.784,26.545,27.054,27.689,26.557,26.479,26.691,27.47
Croatia,5.596,5.385,6.028,5.885,5.381,5.205,5.417,5.343,5.536,5.626,5.882,10.85,11.929,12.662,13.798,11.582,11.966,12.531,12.585,14.187,12.92,15.014
Cyprus,6.387,6.69,6.181,5.439,5.627,5.439,5.795,6.062,6.276,6.137,6.223,19.23,20.047,20.023,20.69,20.283,20.258,19.089,21.445,20.374,20.766,20.876
Denmark,7.771,7.788,7.52,7.589,7.508,7.514,7.558,7.594,7.649,7.693,7.62,-18.59,-17.187,-17.462,-16.758,-17.821,-17.45,-18.37,-17.086,-18.451,-18.969,-16.3
Dominican Republic,4.735,5.397,4.753,5.016,5.387,5.062,5.239,5.605,5.433,6.004,5.545,25.68,26.66,26.423,26.983,26.563,26.76,27.155,26.51,26.573,26.469,26.992
Ecuador,5.838,5.795,5.961,6.019,5.946,5.964,6.115,5.84,6.128,5.809,5.764,21.57,22.292,22.481,22.646,22.03,22.73,22.925,22.408,22.687,21.97,22.798
Egypt,4.669,4.174,4.204,3.559,4.885,4.763,4.557,3.929,4.005,4.328,4.283,22.93,24.665,23.257,24.663,23.732,23.733,22.958,25.59,24.263,24.655,25.021
El Salvador,6.74,4.741,5.934,6.325,5.857,6.018,6.14,6.339,6.241,6.455,6.061,25.55,25.677,26.056,25.978,26.009,26.067,26.803,26.134,25.697,26.034,27.123
Finland,7.393,7.354,7.42,7.445,7.385,7.448,7.66,7.788,7.858,7.78,7.842,1.26,0.501,3.618,0.42,4.323,0.231,0.157,1.75,-0.031,0.876,2.667
France,6.798,6.959,6.649,6.667,6.467,6.358,6.475,6.635,6.666,6.69,6.69,12.96,14.161,14.014,14.26,13.123,14.674,14.91,13.888,16.041,14.968,15.425
Georgia,4.102,4.203,4.254,4.349,4.288,4.122,4.448,4.451,4.659,4.892,4.891,8.22,11.545,9.17,10.742,9.65,9.684,10.733,9.733,9.213,10.758,12.433
Germany,6.725,6.621,6.702,6.965,6.984,7.037,6.874,7.074,7.118,7.035,7.155,8.11,8.96,9.396,8.307,8.383,8.824,8.509,9.893,10.477,10.539,12.349
Ghana,4.606,5.608,5.057,4.965,3.86,3.986,4.514,5.481,5.004,4.967,5.088,26.82,27.94,27.886,27.33,27.731,27.914,28.063,27.736,27.659,27.473,27.815
Greece,5.84,5.372,5.096,4.72,4.756,5.623,5.303,5.148,5.409,5.952,5.723,14.83,15.817,15.649,17.44,15.827,15.618,14.915,16.931,16.678,16.056,17.234
Guatemala,6.29,5.743,5.856,5.985,6.536,6.465,6.359,6.325,6.627,6.262,6.435,23.57,23.993,23.883,23.758,23.763,23.691,24.107,24.119,23.773,23.718,24.831
Honduras,5.866,4.961,4.602,4.713,5.056,4.845,5.648,6.02,5.908,5.93,5.919,24.91,25.676,25.572,25.6,25.307,25.556,25.495,25.652,25.671,25.323,26.425
Hungary,4.725,4.918,4.683,4.914,5.181,5.344,5.449,6.065,5.936,6.0,5.992,9.87,10.696,11.417,12.14,10.765,10.564,11.22,11.814,12.702,11.918,13.977
India,4.989,4.635,4.72,4.428,4.424,4.342,4.179,4.046,3.818,3.249,3.819,24.19,24.937,23.728,25.389,23.507,25.671,24.124,24.858,24.304,24.599,25.762
