Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,
Africa Eastern and Southern,1335490,1342560,1381860,1406900,1436410,1436770,1457530,1471620,1478910,,
Afghanistan,44910,58650,66750,74800,84620,93730,95370,97300,98920,,
Africa Western and Central,690440,723970,740720,771100,790820,805370,835230,848650,881570,,
Angola,84120,86040,84930,88410,88980,90620,91240,87180,79730,,
Albania,9130,9630,9240,9440,9930,9850,9720,10290,10080,,
Andorra,630,600,600,590,580,580,590,590,590,,
Arab World,2143440,2174340,2285760,2318020,2395260,2438650,2479110,2518170,2538650,,
United Arab Emirates,208580,214630,226570,237630,240020,252850,259650,269820,263240,,
Argentina,334590,344800,348940,358180,356100,362560,366370,367320,365650,,
Armenia,7750,8380,9360,9300,9260,9260,9510,9280,9360,,
American Samoa,,,,,,,,,,,
Antigua and Barbuda,1040,1070,1290,1060,1070,1100,1130,1160,1210,,
Australia,571220,673130,670930,581890,593500,594580,573390,619790,615380,,
Austria,82720,80790,77570,78120,74350,75480,75660,77830,74980,,
Azerbaijan,78990,82310,83480,83030,83210,82030,81890,80520,80260,,
Burundi,3810,4010,4070,4430,4370,4350,4750,5390,5520,,
Belgium,124460,112180,111590,112860,106460,111520,110360,108250,108750,,
Benin,12270,12480,12500,13200,13790,14430,16100,16270,17380,,
Burkina Faso,24810,25250,25970,26990,27490,28240,29650,30560,30850,,
Bangladesh,155970,161700,165250,168630,173510,182600,183500,192420,198970,,
Bulgaria,57040,62840,57150,52060,54660,57310,54270,56450,53330,,
Bahrain,38920,39660,40880,43760,45900,46950,47160,47940,48950,,
"Bahamas, The",2410,2770,3990,3480,2980,2740,2570,2540,2640,,
Bosnia and Herzegovina,25960,29040,27260,27050,24470,24640,27200,27460,27190,,
Belarus,90310,87380,88970,89610,88890,84480,83590,85200,88140,,
Belize,1300,1420,1450,1360,1310,1480,1510,1530,1560,,
Bermuda,,,,,,,,,,,
Bolivia,47730,47800,49130,50910,51870,53400,55780,56300,56870,,
Brazil,986440,1004840,1042040,1070850,1105900,1082700,1051690,1064920,1032640,,
Barbados,4000,4090,4660,3940,3760,3770,3820,3720,3790,,
Brunei Darussalam,17220,17270,17310,17110,16960,15880,16180,16330,16620,,
Bhutan,1570,1780,1870,1970,2030,2040,2310,2420,2470,,
Botswana,22420,27490,16490,15950,14760,14400,13580,17460,16120,,
Central African Republic,44960,48060,46980,50040,51370,53480,55820,54780,55680,,
Canada,674200,689760,694210,705420,712310,707930,695200,709370,724930,,
Central Europe and the Baltics,903200,902300,873260,845980,825390,837450,847240,870180,864510,,
Switzerland,54100,50020,51250,52270,48470,47710,48190,47200,46020,,
Channel Islands,,,,,,,,,,,
Chile,93170,99620,101900,104980,98660,104020,108150,109350,109590,,
China,10203820,11074550,11399830,11854530,11865310,11859290,11857180,12058050,12355240,,
Cote d'Ivoire,19320,18210,19130,20460,20410,21460,22730,23120,22900,,
Cameroon,85500,84750,84450,85650,86320,87300,88300,88320,89050,,
"Congo, Dem. Rep.",51030,51120,52160,55970,57680,57980,57640,59660,58700,,
"Congo, Rep.",10250,10290,10140,9630,9370,9200,9250,9180,9370,,
Colombia,164350,166910,165340,172010,175230,176980,180940,177470,184100,,
