Country name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021
Afghanistan,4.758,3.832,3.783,3.572,3.131,3.983,4.22,2.662,2.694,2.375,2.523
Albania,5.269,5.867,5.51,4.551,4.814,4.607,4.511,4.64,5.004,4.995,5.117
Argentina,6.441,6.776,6.468,6.582,6.671,6.697,6.427,6.039,5.793,6.086,5.929
Armenia,4.368,4.26,4.32,4.277,4.453,4.348,4.325,4.288,5.062,5.488,5.283
Australia,7.45,7.406,7.196,7.364,7.289,7.309,7.25,7.257,7.177,7.234,7.183
Austria,7.303,7.471,7.401,7.499,6.95,7.076,7.048,7.294,7.396,7.195,7.268
Azerbaijan,4.219,4.68,4.911,5.481,5.252,5.147,5.304,5.152,5.168,5.173,5.171
Bangladesh,4.858,4.986,4.724,4.66,4.636,4.633,4.556,4.31,4.499,5.114,5.025
Belarus,5.526,5.225,5.749,5.876,5.812,5.719,5.178,5.553,5.234,5.821,5.534
Belgium,6.854,7.111,6.935,7.104,6.855,6.904,6.949,6.928,6.892,6.772,6.834
Bolivia,5.781,5.779,6.019,5.767,5.865,5.834,5.77,5.651,5.916,5.674,5.716
Bosnia and Herzegovina,4.669,4.995,4.773,5.124,5.249,5.117,5.181,5.09,5.887,6.016,5.813
Botswana,3.553,3.52,4.836,4.128,4.031,3.762,3.499,3.505,3.461,3.471,3.467
Brazil,6.837,7.038,6.66,7.14,6.981,6.547,6.375,6.333,6.191,6.451,6.33
Bulgaria,3.912,3.875,4.222,3.993,4.438,4.865,4.838,5.097,5.099,5.108,5.266
Burkina Faso,4.036,4.785,3.955,3.326,3.481,4.419,4.206,4.647,4.927,4.741,4.834
Cambodia,4.141,4.161,3.899,3.674,3.883,4.162,4.461,4.586,5.122,4.998,4.83
Cameroon,4.554,4.434,4.245,4.271,4.24,5.038,4.816,5.074,5.251,4.937,5.142
Canada,7.65,7.426,7.415,7.594,7.304,7.413,7.245,7.415,7.175,7.109,7.103
Chad,3.743,4.393,4.033,3.508,3.46,4.323,4.029,4.559,4.486,4.251,4.355
Chile,6.636,6.526,6.599,6.74,6.844,6.533,6.579,6.32,6.436,5.942,6.172
China,4.653,5.037,5.095,5.241,5.196,5.304,5.325,5.099,5.131,5.144,5.339
Colombia,6.408,6.464,6.375,6.607,6.449,6.388,6.234,6.157,5.984,6.35,6.012
Costa Rica,7.271,7.229,7.272,7.158,7.247,6.854,7.136,7.225,7.141,6.998,7.069
Croatia,5.596,5.385,6.028,5.885,5.381,5.205,5.417,5.343,5.536,5.626,5.882
Cyprus,6.387,6.69,6.181,5.439,5.627,5.439,5.795,6.062,6.276,6.137,6.223
Denmark,7.771,7.788,7.52,7.589,7.508,7.514,7.558,7.594,7.649,7.693,7.62
Dominican Republic,4.735,5.397,4.753,5.016,5.387,5.062,5.239,5.605,5.433,6.004,5.545
Ecuador,5.838,5.795,5.961,6.019,5.946,5.964,6.115,5.84,6.128,5.809,5.764
Egypt,4.669,4.174,4.204,3.559,4.885,4.763,4.557,3.929,4.005,4.328,4.283
El Salvador,6.74,4.741,5.934,6.325,5.857,6.018,6.14,6.339,6.241,6.455,6.061
Finland,7.393,7.354,7.42,7.445,7.385,7.448,7.66,7.788,7.858,7.78,7.842
France,6.798,6.959,6.649,6.667,6.467,6.358,6.475,6.635,6.666,6.69,6.69
Georgia,4.102,4.203,4.254,4.349,4.288,4.122,4.448,4.451,4.659,4.892,4.891
Germany,6.725,6.621,6.702,6.965,6.984,7.037,6.874,7.074,7.118,7.035,7.155
Ghana,4.606,5.608,5.057,4.965,3.86,3.986,4.514,5.481,5.004,4.967,5.088
Greece,5.84,5.372,5.096,4.72,4.756,5.623,5.303,5.148,5.409,5.952,5.723
Guatemala,6.29,5.743,5.856,5.985,6.536,6.465,6.359,6.325,6.627,6.262,6.435
Honduras,5.866,4.961,4.602,4.713,5.056,4.845,5.648,6.02,5.908,5.93,5.919
