Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,52.49585,57.09972,55.46611,59.62277,62.72192,61.41157,57.96634,54.03117,53.43221,52.99812
Albania,21.55726,23.31385,21.45644,19.93915,19.81741,19.42523,17.69079,18.8694,18.65998,18.45981
Argentina,14.05373,14.52667,13.68543,15.06927,14.1147,14.93674,14.45197,13.95186,13.97303,13.84671
Armenia,36.20056,40.79481,41.39294,39.19509,38.75478,38.11764,34.87167,35.55658,34.63884,34.24106
Australia,6.78718,6.71166,7.00126,6.96483,6.87749,6.84756,6.82232,6.67271,6.7411,6.7487
Austria,15.87206,16.2518,14.62976,14.62208,12.9131,13.45269,12.39107,12.02271,12.3846,12.22494
Azerbaijan,25.84174,27.72685,29.59322,29.04756,28.2887,26.8159,25.05773,25.80297,25.88438,26.26906
Bangladesh,56.48803,60.63896,69.00422,66.47897,73.37176,69.08059,67.90836,62.82447,63.39008,63.54533
Belarus,22.46444,19.86036,19.1637,20.06079,20.48884,18.73342,16.90633,16.59014,16.66586,16.57188
Belgium,16.98231,16.24259,15.20068,14.30519,12.90808,13.265,12.43661,12.89121,12.8198,12.7263
Bolivia,31.86734,28.84461,28.67738,26.97036,28.54349,29.54265,28.39105,27.93657,27.71693,27.48764
Bosnia and Herzegovina,35.46516,39.36054,35.51636,33.93648,32.55819,33.85689,29.59341,30.77486,30.78127,30.28742
Botswana,26.59719,27.00312,27.05872,26.10286,25.67235,26.59954,25.65127,25.39271,25.47543,25.32941
Brazil,14.05672,14.6726,13.76786,13.13758,12.9879,11.68776,11.42007,11.66885,11.63402,11.66552
Bulgaria,23.41734,26.33199,23.27254,21.80279,22.24359,20.86425,19.95143,20.22277,20.21311,19.92702
Burkina Faso,53.99324,51.2476,54.19399,47.35318,48.42901,60.27898,56.26509,53.54886,53.66527,53.68486
Cambodia,29.00238,24.82077,25.02527,28.13717,24.31387,24.11826,24.88946,22.08535,22.33921,22.13588
Cameroon,60.63623,60.06186,62.5594,57.96497,57.77838,71.14056,66.83687,63.75296,65.45743,66.15428
Canada,7.90157,7.34895,7.61087,7.28206,7.498,7.2834,6.20744,7.27823,7.07298,7.09026
Chad,57.8041,58.92884,60.05122,55.8678,53.48884,64.13971,59.85288,59.55246,59.32125,59.42594
Chile,21.93499,23.31394,22.28727,23.85567,23.20259,24.49502,24.72874,22.81016,23.63918,23.68317
China,53.24271,58.41283,58.91645,63.32051,60.31858,56.26218,51.64413,49.98303,49.33254,47.72902
Colombia,25.65682,26.62611,23.98831,24.85015,24.42363,23.45619,23.25429,22.56593,22.63916,22.5254
Costa Rica,18.15207,19.61187,18.90757,19.21802,18.30714,18.58168,17.92489,17.46191,17.54223,17.43615
Croatia,20.82379,22.8211,20.22689,19.69789,19.26618,19.63877,17.48408,18.07654,18.37508,18.22689
Cyprus,19.1292,18.8249,17.0835,16.5619,16.6648,17.407,14.6237,15.3562,15.8137,15.7934
Denmark,13.35076,13.61736,10.86565,10.48783,11.0559,10.18456,9.30205,10.28813,9.87276,9.78493
Dominican Republic,17.13981,16.54403,17.36776,17.23382,17.82735,18.62817,18.17853,18.15262,18.15087,18.14536
Ecuador,22.06176,20.29435,21.65051,20.75471,21.54693,21.73624,21.44482,19.89895,20.7159,20.60601
Egypt,78.48821,69.73873,69.65333,74.71484,72.01255,73.10574,66.71446,66.95324,68.48883,67.91512
El Salvador,24.31177,28.71104,25.46469,26.96585,24.48574,25.61375,23.54934,23.15157,22.77792,22.34945
Finland,7.35265,7.16954,6.48428,6.09858,6.49007,5.71918,5.67993,5.3344,5.67502,5.63829
France,14.86064,14.78044,13.52899,13.44807,11.50913,12.23154,11.43916,11.38728,11.49229,11.36678
