Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,29185511.0,30117411.0,31161378.0,32269592.0,33370804.0,34413603.0,35383028.0,36296111.0,37171922.0,38041757.0
Albania,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0
Argentina,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0
Armenia,2877314.0,2876536.0,2884239.0,2897593.0,2912403.0,2925559.0,2936147.0,2944789.0,2951741.0,2957728.0
Australia,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24601860.0,24982688.0,25365745.0
Austria,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0
Azerbaijan,9054332.0,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0
Bangladesh,147575433.0,149273134.0,151005733.0,152761413.0,154517385.0,156256287.0,157977151.0,159685421.0,161376713.0,163046173.0
Belarus,9490583.0,9473172.0,9464495.0,9465997.0,9474511.0,9489616.0,9501534.0,9498264.0,9483499.0,9417849.0
Belgium,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0
Bolivia,10048597.0,10212951.0,10377677.0,10542375.0,10706517.0,10869732.0,11031822.0,11192853.0,11353140.0,11513102.0
Bosnia and Herzegovina,3705478.0,3661173.0,3604972.0,3542598.0,3482106.0,3429362.0,3386263.0,3351534.0,3323929.0,3300998.0
Botswana,1987106.0,2015406.0,2039551.0,2062551.0,2088619.0,2120716.0,2159925.0,2205076.0,2254067.0,2303703.0
Brazil,195713637.0,197514541.0,199287292.0,201035904.0,202763744.0,204471759.0,206163056.0,207833825.0,209469320.0,211049519.0
Bulgaria,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0
Burkina Faso,15605211.0,16081915.0,16571252.0,17072791.0,17586029.0,18110616.0,18646350.0,19193236.0,19751466.0,20321383.0
Cambodia,14312205.0,14541421.0,14780454.0,15026330.0,15274506.0,15521435.0,15766290.0,16009413.0,16249795.0,16486542.0
Cameroon,20341236.0,20906392.0,21485267.0,22077300.0,22681853.0,23298376.0,23926549.0,24566070.0,25216261.0,25876387.0
Canada,34004889.0,34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545295.0,37065178.0,37593384.0
Chad,11952134.0,12360986.0,12784748.0,13220433.0,13663562.0,14110971.0,14561658.0,15016761.0,15477727.0,15946882.0
Chile,17062531.0,17233584.0,17400359.0,17571511.0,17758969.0,17969356.0,18209072.0,18470435.0,18729166.0,18952035.0
China,1337705000.0,1344130000.0,1350695000.0,1357380000.0,1364270000.0,1371220000.0,1378665000.0,1386395000.0,1392730000.0,1397715000.0
Colombia,45222699.0,45662747.0,46075721.0,46495492.0,46967706.0,47520667.0,48175048.0,48909844.0,49661056.0,50339443.0
Costa Rica,4577371.0,4633086.0,4688003.0,4742111.0,4795390.0,4847805.0,4899336.0,4949955.0,4999443.0,5047561.0
Croatia,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,4065253.0
Cyprus,1112617.0,1124837.0,1135046.0,1143866.0,1152297.0,1160987.0,1170189.0,1179685.0,1189262.0,1198574.0
Denmark,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0
Dominican Republic,9695117.0,9813219.0,9930916.0,10048226.0,10165182.0,10281675.0,10397738.0,10513111.0,10627147.0,10738957.0
Ecuador,15011114.0,15243885.0,15474099.0,15707473.0,15951832.0,16212022.0,16491116.0,16785356.0,17084359.0,17373657.0
Egypt,82761244.0,84529251.0,86422240.0,88404652.0,90424668.0,92442549.0,94447071.0,96442590.0,98423602.0,100388076.0
El Salvador,6183877.0,6210567.0,6237922.0,6266076.0,6295124.0,6325121.0,6356137.0,6388124.0,6420740.0,6453550.0
Finland,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,5521606.0
France,65027505.0,65342789.0,65659814.0,65998685.0,66312067.0,66548272.0,66724104.0,66918020.0,67101930.0,67248926.0
Georgia,3786695.0,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3726549.0,3720161.0
Germany,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,83092962.0
Ghana,24779614.0,25387713.0,25996454.0,26607641.0,27224480.0,27849203.0,28481947.0,29121464.0,29767108.0,30417858.0
Greece,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,10721582.0
Guatemala,14259687.0,14521515.0,14781942.0,15043981.0,15306316.0,15567419.0,15827690.0,16087418.0,16346950.0,16604026.0
Honduras,8317467.0,8480670.0,8640692.0,8798524.0,8955579.0,9112904.0,9270794.0,9429016.0,9587523.0,9746115.0
Hungary,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,9771141.0
India,1234281163.0,1250287939.0,1265780243.0,1280842119.0,1295600768.0,1310152392.0,1324517250.0,1338676779.0,1352642283.0,1366417756.0
Indonesia,241834226.0,245115988.0,248451714.0,251805314.0,255128076.0,258383257.0,261556386.0,264650969.0,267670549.0,270625567.0
Ireland,4560155.0,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,4934340.0
Israel,7623600.0,7765800.0,7910500.0,8059500.0,8215700.0,8380100.0,8546000.0,8713300.0,8882800.0,9054000.0
Italy,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60421760.0,59729081.0
Japan,128070000.0,127833000.0,127629000.0,127445000.0,127276000.0,127141000.0,126994511.0,126785797.0,126529100.0,126264931.0
Jordan,7261541.0,7662858.0,8089963.0,8518992.0,8918822.0,9266573.0,9554286.0,9785840.0,9965322.0,10101697.0
Kazakhstan,16321872.0,16557202.0,16792090.0,17035551.0,17288285.0,17542806.0,17794055.0,18037776.0,18276452.0,18513673.0
Kenya,42030684.0,43178270.0,44343469.0,45519986.0,46700063.0,47878339.0,49051531.0,50221146.0,51392570.0,52573967.0
Kosovo,1775680.0,1791000.0,1807106.0,1818117.0,1812771.0,1788196.0,1777557.0,1791003.0,1797085.0,1788878.0
Kyrgyzstan,5447900.0,5514600.0,5607200.0,5719600.0,5835500.0,5956900.0,6079500.0,6198200.0,6322800.0,6456200.0
Lebanon,4953064.0,5202022.0,5537620.0,5913016.0,6261046.0,6532681.0,6714281.0,6819373.0,6859408.0,6855709.0
Lithuania,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2801543.0,2794137.0
Luxembourg,506953.0,518347.0,530946.0,543360.0,556319.0,569604.0,582014.0,596336.0,607950.0,620001.0
Macedonia,2070737.0,2072484.0,2074275.0,2076065.0,2077780.0,2079335.0,2080746.0,2081996.0,2082957.0,2083458.0
Mali,15049352.0,15514593.0,15979492.0,16449854.0,16934213.0,17438772.0,17965448.0,18512429.0,19077755.0,19658023.0
Malta,414508.0,416268.0,420028.0,425967.0,434558.0,445053.0,455356.0,467999.0,484630.0,504062.0
Mauritania,3494200.0,3598646.0,3706555.0,3817497.0,3930894.0,4046304.0,4163532.0,4282582.0,4403312.0,4525698.0
Mexico,114092961.0,115695468.0,117274156.0,118827158.0,120355137.0,121858251.0,123333379.0,124777326.0,126190782.0,127575529.0
Moldova,2861487.0,2859833.0,2859458.0,2858692.0,2856950.0,2834530.0,2802170.0,2755158.0,2708214.0,2663251.0
Mongolia,2719902.0,2770357.0,2824698.0,2881783.0,2940111.0,2998433.0,3056358.0,3113788.0,3170214.0,3225166.0
Montenegro,619428.0,620079.0,620601.0,621207.0,621810.0,622159.0,622303.0,622373.0,622227.0,622028.0
Nepal,27013207.0,27041220.0,26989160.0,26916795.0,26905982.0,27015033.0,27263430.0,27632682.0,28095712.0,28608715.0
Netherlands,16615394.0,16693074.0,16754962.0,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,17231624.0,17344874.0
New Zealand,4350700.0,4384000.0,4408100.0,4442100.0,4516500.0,4609400.0,4714100.0,4813600.0,4900600.0,4979300.0
Nicaragua,5824058.0,5903035.0,5982530.0,6062462.0,6142734.0,6223234.0,6303970.0,6384843.0,6465502.0,6545503.0
Niger,16464025.0,17114770.0,17795209.0,18504287.0,19240182.0,20001663.0,20788789.0,21602388.0,22442831.0,23310719.0
Pakistan,179424643.0,183340168.0,187280125.0,191260799.0,195305012.0,199426953.0,203631356.0,207906210.0,212228288.0,216565317.0
Panama,3642691.0,3706479.0,3770635.0,3835447.0,3901311.0,3968490.0,4037073.0,4106764.0,4176868.0,4246440.0
Peru,29027680.0,29264314.0,29506790.0,29773986.0,30090372.0,30470739.0,30926036.0,31444299.0,31989265.0,32510462.0
Philippines,93966784.0,95570049.0,97212639.0,98871558.0,100513137.0,102113206.0,103663812.0,105172921.0,106651394.0,108116622.0
Poland,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37974750.0,37965475.0
Portugal,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10283822.0,10286263.0
