Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,14.629,16.487,14.373,16.156,15.647,15.427,15.79,16.166,15.942,13.956
Albania,13.779,14.201,15.986,13.827,13.731,13.802,14.754,15.55,14.259,15.781
Argentina,15.394,14.905,15.211,16.265,15.631,16.866,14.273,15.934,14.258,16.619
Armenia,11.088,9.183,10.238,9.049,9.722,11.219,9.15,9.795,9.855,11.905
Australia,22.088,21.167,21.212,22.482,22.13,23.099,22.988,22.175,22.015,21.936
Austria,7.454,7.58,8.461,6.843,7.501,8.004,7.858,9.69,8.416,11.264
Azerbaijan,15.05,12.79,13.895,12.628,13.51,15.089,12.876,12.63,13.109,15.55
Bangladesh,25.767,25.272,25.82,26.239,25.848,25.653,26.201,25.843,25.939,26.52
Belarus,7.959,8.024,5.504,8.502,4.985,6.228,7.601,5.729,6.897,10.154
Belgium,10.812,10.496,9.346,9.483,10.227,10.151,10.541,12.725,11.622,12.478
Bolivia,22.318,22.853,21.587,22.001,22.222,22.5,20.386,21.792,20.106,22.586
Bosnia and Herzegovina,11.12,11.897,13.516,10.848,10.992,11.413,11.958,13.292,11.827,13.849
Botswana,21.976,22.021,22.243,23.374,22.623,22.575,23.601,23.652,23.466,23.107
Brazil,26.205,25.842,26.18,26.372,26.257,26.345,25.845,26.4,25.731,26.83
Bulgaria,11.845,11.689,13.752,12.071,11.041,11.27,13.218,13.058,12.498,13.65
Burkina Faso,29.134,29.317,28.796,29.435,29.61,30.09,29.101,28.763,29.343,29.742
Cambodia,28.288,27.238,27.51,27.429,27.604,28.092,27.81,27.8,27.311,28.369
Cameroon,25.202,25.394,24.795,25.476,25.689,25.702,25.439,25.536,25.369,25.543
Canada,-4.101,-4.215,-2.879,-3.345,-3.605,-3.51,-3.404,-3.941,-4.377,-4.182
Chad,27.751,27.4,27.313,27.033,27.672,27.872,27.299,27.042,26.966,27.162
Chile,9.885,10.248,10.216,10.771,10.258,11.114,10.316,10.129,9.272,10.552
China,7.862,7.944,7.79,7.973,7.581,7.392,7.957,7.552,8.131,7.742
Colombia,25.887,25.584,25.786,25.788,25.702,25.799,25.162,25.506,25.53,26.068
Costa Rica,26.431,26.498,26.784,26.545,27.054,27.689,26.557,26.479,26.691,27.47
Croatia,11.929,12.662,13.798,11.582,11.966,12.531,12.585,14.187,12.92,15.014
Cyprus,20.047,20.023,20.69,20.283,20.258,19.089,21.445,20.374,20.766,20.876
Denmark,-17.187,-17.462,-16.758,-17.821,-17.45,-18.37,-17.086,-18.451,-18.969,-16.3
Dominican Republic,26.66,26.423,26.983,26.563,26.76,27.155,26.51,26.573,26.469,26.992
Ecuador,22.292,22.481,22.646,22.03,22.73,22.925,22.408,22.687,21.97,22.798
Egypt,24.665,23.257,24.663,23.732,23.733,22.958,25.59,24.263,24.655,25.021
El Salvador,25.677,26.056,25.978,26.009,26.067,26.803,26.134,25.697,26.034,27.123
Finland,0.501,3.618,0.42,4.323,0.231,0.157,1.75,-0.031,0.876,2.667
France,14.161,14.014,14.26,13.123,14.674,14.91,13.888,16.041,14.968,15.425
Georgia,11.545,9.17,10.742,9.65,9.684,10.733,9.733,9.213,10.758,12.433
Germany,8.96,9.396,8.307,8.383,8.824,8.509,9.893,10.477,10.539,12.349
Ghana,27.94,27.886,27.33,27.731,27.914,28.063,27.736,27.659,27.473,27.815
Greece,15.817,15.649,17.44,15.827,15.618,14.915,16.931,16.678,16.056,17.234
Guatemala,23.993,23.883,23.758,23.763,23.691,24.107,24.119,23.773,23.718,24.831
Honduras,25.676,25.572,25.6,25.307,25.556,25.495,25.652,25.671,25.323,26.425
Hungary,10.696,11.417,12.14,10.765,10.564,11.22,11.814,12.702,11.918,13.977
India,24.937,23.728,25.389,23.507,25.671,24.124,24.858,24.304,24.599,25.762
Indonesia,26.48,26.051,26.087,26.753,26.587,26.531,26.732,26.382,26.473,26.444
Ireland,11.342,8.766,9.309,10.001,11.098,9.544,11.205,10.7,12.169,9.672
Israel,21.387,19.953,21.83,20.83,20.593,19.497,22.471,21.025,21.306,22.078
Italy,13.791,14.224,15.607,13.369,14.443,14.863,14.006,16.364,14.781,16.527
Japan,13.856,13.435,12.301,13.417,13.493,12.594,12.946,12.123,13.188,12.949
Jordan,21.479,20.127,22.125,20.746,20.272,19.429,22.303,21.048,21.111,22.309
Kazakhstan,8.131,6.5,8.092,6.043,7.35,8.462,5.977,6.539,5.454,5.971
Kenya,25.302,25.41,24.778,24.348,24.981,24.883,24.51,25.051,24.252,25.116
Kosovo,11.225,11.474,13.418,11.113,10.691,11.022,12.36,12.9,11.657,13.166
Kyrgyzstan,3.147,4.169,3.862,3.677,3.753,3.996,4.717,4.014,3.606,2.988
