Country,pc1,pc2,Country,Class_n3,Class_n4,Class_n5
Afghanistan,-2.186018834162311,1.1828583757753361,Afghanistan,1,3,3
Albania,-0.4981682036602176,-0.968241781726066,Albania,0,0,1
Argentina,1.180306973470806,-0.4998099964928687,Argentina,0,0,4
Armenia,-0.8503693700403708,-0.6207020773522941,Armenia,0,1,0
Australia,2.097198860789409,-0.3747321621509508,Australia,0,0,4
Austria,0.9532473321494388,-1.8325390576872702,Austria,0,0,1
Azerbaijan,-0.9212432937356022,-0.2324623830135907,Azerbaijan,0,1,0
Bangladesh,-0.43180187855624064,2.1733398726487905,Bangladesh,0,1,0
Belarus,0.1608716596374934,-1.1099330070866553,Belarus,0,0,1
Belgium,0.8294389491005935,-1.4260269106714878,Belgium,0,0,1
Bolivia,-0.8033738986410899,-0.32978640844408613,Bolivia,0,1,0
Bosnia and Herzegovina,-0.7145088846378996,-0.6336462871121966,Bosnia and Herzegovina,0,1,0
Botswana,-1.6127645591361226,0.09994028618753738,Botswana,0,1,0
Brazil,3.1898863582538834,2.6459114424755272,Brazil,2,2,2
Bulgaria,-0.5470616127860403,-0.6256761546707189,Bulgaria,0,1,0
Burkina Faso,-2.912212698838237,1.6548827207345187,Burkina Faso,1,3,3
Cambodia,-2.035214778336806,0.758572557790397,Cambodia,1,3,3
Cameroon,-2.4208456610806235,1.4693487815982242,Cameroon,1,3,3
Canada,3.4376674614351224,-0.8822597354757606,Canada,0,0,4
Chad,-3.284392294108665,1.9869823163678917,Chad,1,3,3
Chile,0.5578574205364655,-1.2735365718048706,Chile,0,0,1
Colombia,0.09797643639263641,-0.05973684539893136,Colombia,0,1,0
Costa Rica,0.014698566145513774,-1.2518505305537173,Costa Rica,0,0,1
Croatia,-0.04347680481583914,-1.266094167751341,Croatia,0,0,1
Cyprus,-0.07693618301585314,-1.2979655917071788,Cyprus,0,0,1
Denmark,1.8450730088327252,-3.003109005620517,Denmark,0,0,1
Dominican Republic,-0.8009454532406803,-0.3973324958875548,Dominican Republic,0,1,0
Ecuador,-0.43380292814811516,-0.5244769308690991,Ecuador,0,1,0
Egypt,-0.8379549732141717,2.255752031905458,Egypt,0,1,0
El Salvador,-0.46587251644154193,-0.7951412062957656,El Salvador,0,0,1
Finland,1.3360690871873244,-2.364842082053377,Finland,0,0,1
France,2.066393179754273,0.052166655919930936,France,0,0,4
Georgia,-0.6377523579782979,-0.8618220667563591,Georgia,0,0,1
Germany,3.659283952696105,1.1854301256345225,Germany,0,0,4
Ghana,-2.015069392743467,1.0452316552169616,Ghana,1,3,3
Greece,0.2421050809736254,-0.9528226010671769,Greece,0,0,1
