Country,pc1,pc2,Country,Class_n3,Class_n4,Class_n5,n3_colors,n4_colors,n5_colors
Afghanistan,-2.707881804886554,0.24645836056373835,Afghanistan,1,1,1,#fc4f30,#fc4f30,#fc4f30
Albania,-0.4405974703163928,-1.106560547573385,Albania,2,0,2,#e5ae38,#30a2da,#e5ae38
Argentina,0.9771029007121443,-0.610713682254116,Argentina,2,0,2,#e5ae38,#30a2da,#e5ae38
Armenia,-0.8542338772120642,-0.9581204635843233,Armenia,2,0,4,#e5ae38,#30a2da,#8b8b8b
Australia,4.02857998844539,2.3976062520264794,Australia,0,2,0,#30a2da,#e5ae38,#30a2da
Austria,2.0881703535263014,-0.442117767396894,Austria,0,3,3,#30a2da,#6d904f,#6d904f
Azerbaijan,-0.4840514734872266,-0.15816820199566348,Azerbaijan,2,0,4,#e5ae38,#30a2da,#8b8b8b
Bangladesh,-1.9078472104215454,0.15438162492370058,Bangladesh,1,1,1,#fc4f30,#fc4f30,#fc4f30
Belarus,0.9944947378271934,-0.40611148447417783,Belarus,2,0,2,#e5ae38,#30a2da,#e5ae38
Belgium,2.0814526013533947,0.08018605300904495,Belgium,0,3,3,#30a2da,#6d904f,#6d904f
Bolivia,-0.7573939078126226,-0.17339196177764674,Bolivia,2,0,4,#e5ae38,#30a2da,#8b8b8b
Bosnia and Herzegovina,-0.026901446394826542,-0.1637330419358283,Bosnia and Herzegovina,2,0,2,#e5ae38,#30a2da,#e5ae38
Botswana,-0.9622724095401544,0.3783412664125043,Botswana,2,0,4,#e5ae38,#30a2da,#8b8b8b
Brazil,0.20778466436336462,-0.5566143288064739,Brazil,2,0,2,#e5ae38,#30a2da,#e5ae38
Bulgaria,0.1274718126424466,-0.3868603845580268,Bulgaria,2,0,2,#e5ae38,#30a2da,#e5ae38
Burkina Faso,-3.3977445960335304,0.9370672402313571,Burkina Faso,1,1,1,#fc4f30,#fc4f30,#fc4f30
Cambodia,-2.4294585502700485,0.04107222128057011,Cambodia,1,1,1,#fc4f30,#fc4f30,#fc4f30
Cameroon,-2.7469547234815233,1.048851703771812,Cameroon,1,1,1,#fc4f30,#fc4f30,#fc4f30
Canada,4.294744855536891,0.3798314111502944,Canada,0,2,0,#30a2da,#e5ae38,#30a2da
Chad,-3.575098628783876,1.402596185616547,Chad,1,1,1,#fc4f30,#fc4f30,#fc4f30
Chile,0.8116639944857149,-0.9360368672692757,Chile,2,0,2,#e5ae38,#30a2da,#e5ae38
China,-0.4045332222963296,0.43774920502217646,China,2,0,4,#e5ae38,#30a2da,#8b8b8b
Colombia,-0.38538649112483686,-0.3696098885471106,Colombia,2,0,4,#e5ae38,#30a2da,#8b8b8b
Costa Rica,0.1032118087543715,-0.6780798329356081,Costa Rica,2,0,2,#e5ae38,#30a2da,#e5ae38
Croatia,0.5418373496094542,-0.7647282329108195,Croatia,2,0,2,#e5ae38,#30a2da,#e5ae38
Cyprus,0.9723730630217515,0.012955293722905306,Cyprus,2,0,2,#e5ae38,#30a2da,#e5ae38
Denmark,3.3039264205978345,-1.624000163618458,Denmark,0,3,3,#30a2da,#6d904f,#6d904f
Dominican Republic,-0.8337696978463143,-0.5537862587955162,Dominican Republic,2,0,4,#e5ae38,#30a2da,#8b8b8b
