Country,Life Ladder,Temperature,Clean Water,Greenhouse Gas Emissions,Population,PM2.5,Forest Percentage
Afghanistan,4.758,14.629,48.28708,44910.0,29185511.0,52.49585,0.018527819940818424
Afghanistan,3.832,16.487,50.82785,58650.0,30117411.0,57.09972,0.018527819940818424
Afghanistan,3.783,14.373,53.40352,66750.0,31161378.0,55.46611,0.018527819940818424
Afghanistan,3.572,16.156,56.01404,74800.0,32269592.0,59.62277,0.018527819940818424
Afghanistan,3.131,15.647,58.65937,84620.0,33370804.0,62.72192,0.018527819940818424
Afghanistan,3.983,15.427,61.33978,93730.0,34413603.0,61.41157,0.018527819940818424
Afghanistan,4.22,15.79,64.05488,95370.0,35383028.0,57.96634,0.018527819940818424
Afghanistan,2.662,16.166,66.8087,97300.0,36296111.0,54.03117,0.018527819940818424
Afghanistan,2.694,15.942,69.60193,98920.0,37171922.0,53.43221,0.018527819940818424
Afghanistan,2.375,13.956,72.43422,,38041757.0,52.99812,0.018527819940818424
Afghanistan,2.523,,,,,,
Albania,5.269,13.779,91.37948,9130.0,2913021.0,21.55726,0.2720432725754835
Albania,5.867,14.201,91.81089,9630.0,2905195.0,23.31385,0.27253843745651873
Albania,5.51,15.986,92.22878,9240.0,2900401.0,21.45644,0.27303360233755386
Albania,4.551,13.827,92.63159,9440.0,2895092.0,19.93915,0.2735287672185891
Albania,4.814,13.731,93.02006,9930.0,2889104.0,19.81741,0.2740239320996243
Albania,4.607,13.802,93.39433,9850.0,2880703.0,19.42523,0.2745190969806595
Albania,4.511,14.754,93.75488,9720.0,2876101.0,17.69079,0.2744990955892584
Albania,4.64,15.55,94.1021,10290.0,2873457.0,18.8694,0.27447909419785727
Albania,5.004,14.259,94.43639,10080.0,2866376.0,18.65998,0.2744590928064561
Albania,4.995,15.781,94.75822,,2854191.0,18.45981,0.27443909141505496
Albania,5.117,,,,,,
Argentina,6.441,15.394,98.42726,334590.0,40788453.0,14.05373,0.10866781758020429
Argentina,6.776,14.905,98.61329,344800.0,41261490.0,14.52667,0.10786433606675298
Argentina,6.468,15.211,98.79495,348940.0,41733271.0,13.68543,0.10706085455330168
Argentina,6.582,16.265,98.85207,358180.0,42202935.0,15.06927,0.10625737303985038
Argentina,6.671,15.631,98.90932,356100.0,42669500.0,14.1147,0.10545389152639909
Argentina,6.697,16.866,98.96659,362560.0,43131966.0,14.93674,0.10465041001294778
Argentina,6.427,14.273,99.02386,366370.0,43590368.0,14.45197,0.10427348582937707
Argentina,6.039,15.934,99.62947,367320.0,44044811.0,13.95186,0.10389656164580637
Argentina,5.793,14.258,99.68312,365650.0,44494502.0,13.97303,0.10351963746223565
Argentina,6.086,16.619,99.73677,,44938712.0,13.84671,0.10314271327866494
Argentina,5.929,,,,,,
Armenia,4.368,11.088,98.20048,7750.0,2877314.0,36.20056,0.1111387553373903
Armenia,4.26,9.183,98.51313,8380.0,2876536.0,40.79481,0.11106882291631644
Armenia,4.32,10.238,98.82807,9360.0,2884239.0,41.39294,0.11099889049524259
Armenia,4.277,9.049,99.14572,9300.0,2897593.0,39.19509,0.11092895807416872
Armenia,4.453,9.722,99.44056,9260.0,2912403.0,38.75478,0.11085902565309486
Armenia,4.348,11.219,99.55257,9260.0,2925559.0,38.11764,0.11078909323202098
Armenia,4.325,9.15,99.56094,9510.0,2936147.0,34.87167,0.1107184883838214
Armenia,4.288,9.795,99.93513,9280.0,2944789.0,35.55658,0.11064788353562183
Armenia,5.062,9.855,99.95192,9360.0,2951741.0,34.63884,0.11057727868742226
Armenia,5.488,11.905,99.96873,,2957728.0,34.24106,0.11050667383922268
Armenia,5.283,,,,,,
Australia,7.45,22.088,99.88315,571220.0,22031750.0,6.78718,0.16841614118728698
Australia,7.406,21.167,99.89197,673130.0,22340024.0,6.71166,0.1693387592134398
Australia,7.196,21.212,99.90077,670930.0,22733465.0,7.00126,0.17026137723959262
Australia,7.364,22.482,99.90959,581890.0,23128129.0,6.96483,0.17118399526574538
Australia,7.289,22.13,99.96148,593500.0,23475686.0,6.87749,0.1721066132918982
Australia,7.309,23.099,99.97001,594580.0,23815995.0,6.84756,0.173029231318051
Australia,7.25,22.988,99.96997,573390.0,24190907.0,6.82232,0.1732659960499343
Australia,7.257,22.175,99.96993,619790.0,24601860.0,6.67271,0.17350276078181762
Australia,7.177,22.015,99.96989,615380.0,24982688.0,6.7411,0.17373952551370095
Australia,7.234,21.936,99.96986,,25365745.0,6.7487,0.17397629024558425
Australia,7.183,,,,,,
Austria,7.303,7.454,100.0,82720.0,8363404.0,15.87206,0.46061213053379596
Austria,7.471,7.58,100.0,80790.0,8391643.0,16.2518,0.46104112267649133
Austria,7.401,8.461,100.0,77570.0,8429991.0,14.62976,0.4614701148191866
Austria,7.499,6.843,100.0,78120.0,8479823.0,14.62208,0.46189910696188197
Austria,6.95,7.501,100.0,74350.0,8546356.0,12.9131,0.46232809910457723
Austria,7.076,8.004,100.0,75480.0,8642699.0,13.45269,0.4627570912472726
Austria,7.048,7.858,100.0,75660.0,8736668.0,12.39107,0.4631853680056277
Austria,7.294,9.69,100.0,77830.0,8797566.0,12.02271,0.4636136447639829
Austria,7.396,8.416,100.0,74980.0,8840521.0,12.3846,0.4640419215223379
Austria,7.195,11.264,100.0,,8879920.0,12.22494,0.46447019828069297
Austria,7.268,,,,,,
Azerbaijan,4.219,15.05,85.97105,78990.0,9054332.0,25.84174,0.11922570438799077
Azerbaijan,4.68,12.79,87.25521,82310.0,9173082.0,27.72685,0.12027403002309468
Azerbaijan,4.911,13.895,88.54807,83480.0,9295784.0,29.59322,0.12132234411085449
Azerbaijan,5.481,12.628,89.84895,83030.0,9416801.0,29.04756,0.12237066974595842
Azerbaijan,5.252,13.51,91.15672,83210.0,9535079.0,28.2887,0.12341899538106235
Azerbaijan,5.147,15.089,92.42031,82030.0,9649341.0,26.8159,0.1244673210161663
Azerbaijan,5.304,12.876,93.18356,81890.0,9757812.0,25.05773,0.12571173210161662
Azerbaijan,5.152,12.63,93.9416,80520.0,9854033.0,25.80297,0.12695614318706697
Azerbaijan,5.168,13.109,94.69389,80260.0,9939771.0,25.88438,0.1282005542725173
Azerbaijan,5.173,15.55,95.41372,,10024283.0,26.26906,0.12944496535796765
Azerbaijan,5.171,,,,,,
Bangladesh,4.858,25.767,96.39689,155970.0,147575433.0,56.48803,0.1279624584942739
Bangladesh,4.986,25.272,96.54633,161700.0,149273134.0,60.63896,0.1278954801111337
Bangladesh,4.724,25.82,96.69159,165250.0,151005733.0,69.00422,0.12782850172799348
Bangladesh,4.66,26.239,96.83255,168630.0,152761413.0,66.47897,0.1277615233448533
Bangladesh,4.636,25.848,96.96925,173510.0,154517385.0,73.37176,0.12769454496171306
Bangladesh,4.633,25.653,97.1016,182600.0,156256287.0,69.08059,0.12762756657857288
Bangladesh,4.556,26.201,97.22961,183500.0,157977151.0,67.90836,0.12762756657857288
Bangladesh,4.31,25.843,97.35325,192420.0,159685421.0,62.82447,0.12762756657857288
Bangladesh,4.499,25.939,97.47252,198970.0,161376713.0,63.39008,0.12762756657857288
Bangladesh,5.114,26.52,97.58742,,163046173.0,63.54533,0.12762756657857288
Bangladesh,5.025,,,,,,
Belarus,5.526,7.959,97.53976,90310.0,9490583.0,22.46444,0.41570327552986513
Belarus,5.225,8.024,97.2753,87380.0,9473172.0,19.86036,0.41573699421965316
Belarus,5.749,5.504,97.00804,88970.0,9464495.0,19.1637,0.41577071290944123
Belarus,5.876,8.502,96.73803,89610.0,9465997.0,20.06079,0.4158044315992293
Belarus,5.812,4.985,96.46535,88890.0,9474511.0,20.48884,0.4158381502890173
Belarus,5.719,6.228,96.47707,84480.0,9489616.0,18.73342,0.4158718689788054
Belarus,5.178,7.601,96.48868,83590.0,9501534.0,16.90633,0.41716377649325626
Belarus,5.553,5.729,96.50017,85200.0,9498264.0,16.59014,0.4184556840077071
Belarus,5.234,6.897,96.51168,88140.0,9483499.0,16.66586,0.419747591522158
Belarus,5.821,10.154,96.52321,,9417849.0,16.57188,0.42103949903660887
Belarus,5.534,,,,,,
