Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,8397779,12105788,10218514,8440766,7774340,7904133,6744628,6859825,10452666,10720332
Albania,4448096,5030672,4667936,4928080,5620576,4532368,4495728,5404400,5402999,5579015
Argentina,186733136,190273774,191714848,190151693,188697406,192365656,190929640,187415944,185029897,178939546
Armenia,4252750,4968878,5748252,5535004,5559906,5072367,5158751,5484847,6296603,6005927
Australia,405502799,404172757,406506242,397943179,394116892,401554757,411031531,415097428,415953947,411015667
Austria,72011841,69898241,67209096,67745690,64084427,66283237,67112265,69628860,66719678,68495143
Azerbaijan,30632888,32975696,35048364,35214656,36975243,37198570,37278351,36497944,37488394,39820063
Bangladesh,53991553,56556344,60691320,61781600,65978676,72834625,75857425,80323841,85718805,102161676
Belarus,63156392,62106745,63008346,63743445,63083639,58633060,60284851,60742935,61871676,62483877
Belgium,114561030,105046058,102428755,102674404,96811323,100981344,99806944,99456275,100207836,99708878
Bolivia,14640706,16038111,18119308,18425881,19618167,19420970,20693268,21810561,22345503,22574851
Bosnia and Herzegovina,21145704,23761289,22136251,21801049,19310982,18460682,21732885,21791510,22086102,26621092
Botswana,4536329,4028695,5076599,5662940,6850050,5424754,6333426,7058898,6815418,6316388
Brazil,411240192,429959368,460098000,495046768,523894030,495213709,478442801,484588129,466649304,465715770
Bulgaria,47862930,53178044,48349009,42649508,45169330,48194280,45353723,47505164,43551599,42006473
Burkina Faso,2036837,2130246,2619958,2864172,2912027,3297574,3381436,3938364,4140342,4301291
Cambodia,5030512,5105272,5333522,5475787,6516419,8446276,9724038,11185974,15479031,16026972
Cameroon,6662027,6521189,6158221,5069213,6850332,7743900,8259621,7530489,7566796,7592750
Canada,555549849,566740991,569737013,576327006,575942179,575906939,564032530,572834389,586504635,576650511
Chad,996608,1117520,614006,654926,989261,696141,992925,996589,1008035,1030268
Chile,71329755,78083804,79703781,81691568,77422779,81633171,84153728,84062128,85829114,84266622
China,8500542695,9388199234,9633899303,9796526887,9820360215,9683200711,9552516545,9750725978,9956568523,10174681100
Colombia,76278424,76079775,79727172,89988822,90952312,86071133,100800516,91669828,92228209,102202444
Costa Rica,7493718,7309366,7258914,7632744,7748551,7407129,7923749,8235193,8249118,8507521
Croatia,21050860,20682439,19114779,18454622,17704985,17840751,18105044,18737689,17718646,17882170
Cyprus,8089011,7759468,7234892,6554364,6934592,6960129,7368228,7515688,7332762,7315731
Denmark,49152290,44197135,39823599,41729536,37527338,35181488,36988696,34722160,34651430,32075494
Dominican Republic,20574429,21319267,21493744,21049677,21645666,23487946,24629076,24255049,25305221,27378802
Ecuador,34825406,37397988,37152750,39361859,43207759,40639846,39505077,39237605,41817989,40540282
Egypt,198807706,211037468,210354927,206867596,221942269,219304044,233515638,250240141,251460913,246642918
El Salvador,6317045,6500474,6469105,6093602,6147471,6715391,6638447,6015567,6018265,6207296
Finland,64099451,56665652,51222147,51750959,47643863,44113714,47227548,44673063,45849349,41652603
France,389386269,362503895,363809078,365831220,333922145,338500674,341025656,345921253,331725446,323747139
Georgia,6209092,7803739,8251070,8008749,8787144,9588737,9905193,9831913,9862173,10286677
Germany,832669735,809426950,813893121,831316279,792684874,795816359,800510288,786654551,755362342,701955108
Ghana,9710739,11226271,14316380,14179784,14754491,16114715,16546988,13816963,14479998,14959912
Greece,97361504,94549577,91430100,81735054,78659796,74957905,71368361,74852846,71797869,67183971
Guatemala,11097671,11238403,11558623,12582262,13568576,15426266,16375861,17214317,19411335,20513439
Honduras,7958539,8634527,8988641,9244730,9338725,10082024,9554403,9899065,10470701,10928412
Hungary,52123678,50322146,46776678,43704805,43862711,46627613,47395710,49684847,49628491,49101007
